NUMERO,LOCALIDADE,ESTADO,PAIS,SP,LogLM,LogBM1,LogLIF,LogBFI,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogBOC,LogLPB,LogBI,LogLI,LogLB,LM,BM1,LIF,BFI,BIT,BP,LN,BN,LIB,BB,BZP,BOC,LPB,BI,LI,LB,LAT,LONG,LD1,LD2,LD3,LD4,LD5
BMNH 1920.1.7.12,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,1.957273908,0.75612198,2.091864062,1.05431203,1.2753628,1.990610328,2.691243083,1.40854497,1.667706821,2.710713319,1.717395054,2.039920784,2.246014742,2.388762789,1.16938136,2.633326655,7.08,2.13,8.1,2.87,3.58,7.32,14.75,4.09,5.3,15.04,5.57,7.69,9.45,10.9,3.22,13.92,-24.2,-64.71666667,1.093954315,1.661152448,0.643664268,-0.871487014,-0.280882169
BMNH 1920.1.7.14,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,1.943048917,0.806475866,2.005525859,0.932164081,1.16938136,1.986503546,2.568788134,1.187843422,1.532556868,2.753023567,1.669591835,2.038619547,2.122261539,2.284421122,1.247032294,2.693951277,6.98,2.24,7.43,2.54,3.22,7.29,13.05,3.28,4.63,15.69,5.31,7.68,8.35,9.82,3.48,14.79,-24.2,-64.71666667,-0.240743907,1.873786196,0.943902414,2.092243937,0.606376436
BMNH 1920.1.7.15,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,1.991975516,0.779324877,2.090628731,0.947789399,1.217875709,1.986503546,2.653241965,1.280933845,1.506297154,2.747911735,1.719188776,2.05796251,2.076938411,2.35991016,0.943905899,2.698673039,7.33,2.18,8.09,2.58,3.38,7.29,14.2,3.6,4.51,15.61,5.58,7.83,7.98,10.59,2.57,14.86,-24.2,-64.71666667,0.35195466,1.598379684,1.802366892,0.055412703,0.426355363
BMNH 1920.1.7.16,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,2.029463172,0.90016135,2.013568798,0.936093359,1.172482137,1.891604804,2.671386217,1.190887565,1.497388409,2.780680892,1.591273942,1.921324674,2.207174908,2.307572635,0.963174318,2.647592232,7.61,2.46,7.49,2.55,3.23,6.63,14.46,3.29,4.47,16.13,4.91,6.83,9.09,10.05,2.62,14.12,-24.2,-64.71666667,2.358989324,1.187602574,1.838013895,-1.321431149,-0.25766332
BMNH 1920.1.7.18,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,1.960094784,0.765467842,2.091864062,0.936093359,1.166270937,2.005525859,2.654649424,1.353254507,1.54329811,2.759376828,1.665818246,1.991975516,2.125847914,2.361796953,0.688134639,2.621765833,7.1,2.15,8.1,2.55,3.21,7.43,14.22,3.87,4.68,15.79,5.29,7.33,8.38,10.61,1.99,13.76,-24.2,-64.71666667,0.52681577,2.955523948,1.206961023,-1.366030056,-1.168714346
BMNH 1920.1.7.19,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,2.014903021,0.858661619,2.066862759,0.896088025,1.124929597,1.958685341,2.645465326,1.272565596,1.532556868,2.649714624,1.566530411,1.993338843,2.068127782,2.371177884,1.373715579,2.576421759,7.5,2.36,7.9,2.45,3.08,7.09,14.09,3.57,4.63,14.15,4.79,7.34,7.91,10.71,3.95,13.15,-24.2,-64.71666667,1.188191538,0.258107855,0.385456798,-0.924738273,-0.567446219
BMNH 1920.1.7.21,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,2.004179057,0.841567186,2.069391206,0.951657876,1.196948189,1.990610328,2.643333886,1.297463147,1.638996715,2.775085602,1.613429934,2.028148247,2.163323026,2.444952334,1.166270937,2.681021529,7.42,2.32,7.92,2.59,3.31,7.32,14.06,3.66,5.15,16.04,5.02,7.6,8.7,11.53,3.21,14.6,-24.2,-64.71666667,0.358667592,1.408216886,1.521623669,0.034292044,0.802410894
BMNH 1920.1.7.8,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,1.982379829,0.891998039,1.981001469,0.920282753,1.196948189,2.005525859,2.646883766,1.427916036,1.62924054,2.777576264,1.591273942,1.979621206,2.150598736,2.494031558,1.214912744,2.637627737,7.26,2.44,7.25,2.51,3.31,7.43,14.11,4.17,5.1,16.08,4.91,7.24,8.59,12.11,3.37,13.98,-24.2,-64.71666667,-0.294597293,1.040104296,2.420657005,-1.382817678,-0.74823552
BMNH 1920.1.7.9,"Villa Carolina, Rio Lavallen",Jujuy,Argentina,G,2.098017927,0.862889955,2.079441542,0.867100488,1.199964783,2.03077637,2.71866038,1.184789985,1.501852702,2.783157674,1.745715531,2.075684493,2.291524146,2.343727036,1.172482137,2.647592232,8.15,2.37,8,2.38,3.32,7.62,15.16,3.27,4.49,16.17,5.73,7.97,9.89,10.42,3.23,14.12,-24.2,-64.71666667,-0.741960234,1.180327044,0.082294669,-1.591064484,0.153641559
MACN 20769,"Formosa, P.N. Rio Pilcamayo, Esterom Poê",Jujuy,Argentina,G,1.928618652,0.765467842,2.047692843,0.955511445,1.184789985,1.968509981,2.743417345,1.134622726,1.504077397,2.722610352,1.682688374,2.069391206,2.2300144,2.360854001,0.741937345,2.631169157,6.88,2.15,7.75,2.6,3.27,7.16,15.54,3.11,4.5,15.22,5.38,7.92,9.3,10.6,2.1,13.89,-25.05,-58.05,1.045715544,1.520605922,-1.541260156,-1.063632384,-0.05608774
MACN 20770,"Formosa, P.N. Rio Pilcamayo, Esterom Poê",Jujuy,Argentina,G,1.908059925,0.717839793,2.084429083,0.891998039,1.17557333,1.916922612,2.687847494,1.223775432,1.599387577,2.720637317,1.5518088,2.010894999,2.055404964,2.43798973,0.904218151,2.649714624,6.74,2.05,8.04,2.44,3.24,6.8,14.7,3.4,4.95,15.19,4.72,7.47,7.81,11.45,2.47,14.15,-25.05,-58.05,2.188293777,1.114688536,0.655231769,-0.266710628,1.001617499
MACN 16223,"Salta, Oran, Tabaca",Salta,Argentina,G,1.958685341,0.792992516,1.912501087,0.943905899,1.115141591,1.916922612,2.560323289,1.193922468,1.638996715,2.747270914,1.430311247,2.017566138,2.034705648,2.345644582,0.737164066,2.541601993,7.09,2.21,6.77,2.57,3.05,6.8,12.94,3.3,5.15,15.6,4.18,7.52,7.65,10.44,2.09,12.7,-23.2666702,-64.25,1.239306881,-0.144583762,0.226898868,-0.091028952,-0.904025059
MACN 16226,"Salta, Oran, Tabaca",Salta,Argentina,G,1.93874166,0.708035793,1.958685341,0.854415328,1.220829921,1.924248652,2.630448955,1.266947603,1.497388409,2.684440335,1.526056303,2.033397603,2.228938553,2.33698652,0.593326845,2.568788134,6.95,2.03,7.09,2.35,3.39,6.85,13.88,3.55,4.47,14.65,4.6,7.64,9.29,10.35,1.81,13.05,-23.2666702,-64.25,0.865558627,1.653169752,0.017867577,-1.558931482,-1.949972039
MACN 17873,"Salta, Oran, Tabaca",Salta,Argentina,G,2.002830439,0.770108222,2.085672091,0.871293366,1.214912744,1.987874348,2.706048198,1.205970807,1.558144618,2.764430535,1.701105101,2.079441542,2.135349174,2.352327185,0.412109651,2.626840146,7.41,2.16,8.05,2.39,3.37,7.3,14.97,3.34,4.75,15.87,5.48,8,8.46,10.51,1.51,13.83,-23.2666702,-64.25,0.738795437,2.128690476,0.318916779,-1.991777581,-0.028219113
MACN 17877,"Salta, Oran, Tabaca",Salta,Argentina,G,1.981001469,0.722705983,1.876406943,0.810930216,0.88376754,1.89761986,2.49732917,1.217875709,1.512927012,2.697999865,1.410986974,1.979621206,2.012232792,2.207174908,0.824175443,2.536866389,7.25,2.06,6.53,2.25,2.42,6.67,12.15,3.38,4.54,14.85,4.1,7.24,7.48,9.09,2.28,12.64,-23.2666702,-64.25,1.012552155,1.868604205,0.528712355,1.089991701,-1.89139696
MACN 17878,"Salta, Oran, Tabaca",Salta,Argentina,G,1.971299383,0.770108222,1.950186706,0.896088025,1.266947603,2.00148,2.623218266,1.25846099,1.530394705,2.72719902,1.702928256,2.060513532,2.266957915,2.362739016,0.940007258,2.670002133,7.18,2.16,7.03,2.45,3.55,7.4,13.78,3.52,4.62,15.29,5.49,7.85,9.65,10.62,2.56,14.44,-23.2666702,-64.25,-0.690006491,2.467265997,0.759718656,-0.656135599,-0.430352261
MACN 17882,"Salta, Oran, Tabaca",Salta,Argentina,G,1.968509981,0.698134722,1.994700313,0.806475866,1.202972304,1.928618652,2.62756295,1.280933845,1.467874348,2.724579503,1.481604541,2.086913557,2.069391206,2.352327185,0.875468737,2.59076704,7.16,2.01,7.35,2.24,3.33,6.88,13.84,3.6,4.34,15.25,4.4,8.06,7.92,10.51,2.4,13.34,-23.2666702,-64.25,0.022694324,-0.814156291,1.146856568,-0.202788516,-1.155994224
MACN 17886,"Salta, Oran, Tabaca",Salta,Argentina,G,2.000127735,0.845868268,2.063058062,0.871293366,1.238374231,1.976854953,2.692598097,1.190887565,1.597365331,2.716018371,1.680827909,2.014903021,2.199444334,2.196112848,0.667829373,2.623943692,7.39,2.33,7.87,2.39,3.45,7.22,14.77,3.29,4.94,15.12,5.37,7.5,9.02,8.99,1.95,13.79,-23.2666702,-64.25,1.465142443,2.268916425,0.294630446,-1.31062894,0.090873128
MACN 17887,"Salta, Oran, Tabaca",Salta,Argentina,G,1.948763218,0.783901544,2.091864062,0.936093359,1.264126727,1.989243274,2.609334228,1.410986974,1.576914721,2.712706013,1.62924054,2.029463172,2.142416341,2.348514025,1.08180517,2.63905733,7.02,2.19,8.1,2.55,3.54,7.31,13.59,4.1,4.84,15.07,5.1,7.61,8.52,10.47,2.95,14,-23.2666702,-64.25,0.259362692,1.734815749,1.805779787,0.104283693,-0.830271888
MACN 17889,"Salta, Oran, Tabaca",Salta,Argentina,G,1.967112357,0.751416089,1.931521412,0.841567186,1.124929597,2.008214032,2.688527535,1.160020917,1.589235205,2.681706226,1.532556868,1.978239036,2.162172939,2.301584593,0.131028262,2.574899688,7.15,2.12,6.9,2.32,3.08,7.45,14.71,3.19,4.9,14.61,4.63,7.23,8.69,9.99,1.14,13.13,-23.2666702,-64.25,0.895497452,3.279055005,-1.061776123,-3.004462597,-0.960246129
BMNH 1933.10.9.17,Junçæo Rio Sæo Lourenço com Rio Cugaba,Mato Grosso,Brasil,G,1.982379829,0.765467842,2.099244169,1.01884732,1.128171091,1.930071085,2.665838352,1.229640551,1.601405741,2.754933787,1.545432582,2.010894999,2.1102132,2.279316466,0.90016135,2.620311287,7.26,2.15,8.16,2.77,3.09,6.89,14.38,3.42,4.96,15.72,4.69,7.47,8.25,9.77,2.46,13.74,-16.46,-54.95,2.155135618,0.549337372,0.377823879,0.499855259,0.175977668
MZUSP13462,Ilha de Taiamæ,Mato Grosso,Brasil,G,1.948763218,0.727548607,2.141241943,0.928219303,1.134622726,1.979621206,2.622492313,1.381281819,1.667706821,2.708050201,1.711994501,2.073171929,2.159868791,2.398803951,0.693147181,2.562638998,7.02,2.07,8.51,2.53,3.11,7.24,13.77,3.98,5.3,15,5.54,7.95,8.67,11.01,2,12.97,-16.8,-57.4,1.230451114,3.888111868,-0.107389865,-1.166025581,-1.128562399
MZUSP13463,Ilha de Taiamæ,Mato Grosso,Brasil,G,1.822935087,0.494696242,2.089391873,0.879626748,1.202972304,1.893111963,2.604170071,1.532556868,1.587192303,2.711377991,1.611435915,2.024193067,2.124653885,2.316487998,1.398716881,2.641197894,6.19,1.64,8.08,2.41,3.33,6.64,13.52,4.63,4.89,15.05,5.01,7.57,8.37,10.14,4.05,14.03,-16.8,-57.4,1.47460805,1.807031272,2.53107641,1.996746878,-0.76433319
MZUSP19536,Ilha de Taiamæ,Mato Grosso,Brasil,G,1.822935087,0.657520003,2.043814364,0.875468737,1.141033005,1.884034745,2.596746132,1.410986974,1.517322624,2.656054906,1.570697084,1.95586048,2.05796251,2.121063216,0.97455964,2.561867691,6.19,1.93,7.72,2.4,3.13,6.58,13.42,4.1,4.56,14.24,4.81,7.07,7.83,8.34,2.65,12.96,-16.8,-57.4,2.450808782,1.99793291,1.378769029,1.113193581,-2.169800717
MZUSP19537,Ilha de Taiamæ,Mato Grosso,Brasil,G,1.940179474,0.641853886,2.093097868,0.970778917,1.124929597,1.843719208,2.672768387,1.413423029,1.549687908,2.700018029,1.640936579,2.0255132,2.151762203,2.38416508,1.319085611,2.615203651,6.96,1.9,8.11,2.64,3.08,6.32,14.48,4.11,4.71,14.88,5.16,7.58,8.6,10.85,3.74,13.67,-16.8,-57.4,2.988378863,0.861755168,1.578048395,0.098821334,-0.603913849
MZUSP21218,Ilha de Taiamæ,Mato Grosso,Brasil,G,1.925707442,0.678033543,1.915450942,0.770108222,1.01884732,1.908059925,2.611539301,1.280933845,1.439835128,2.683074215,1.465567542,1.95160817,2.00148,2.283402274,0.932164081,2.493205453,6.86,1.97,6.79,2.16,2.77,6.74,13.62,3.6,4.22,14.63,4.33,7.04,7.4,9.81,2.54,12.1,-16.8,-57.4,1.087333635,0.440138459,0.434199838,-1.419807336,-2.688056044
UMMZ 166255,"4 KM N (BY AIR) OF BAHIA NEGRA, ESTANCIA DONA JULIA, W BANK OF RIO PARAGUAY, 20 DEG 11' S, 58 DEG 9' W",Alto Paraguay,Paraguay,G,1.930071085,0.732367894,2.141241943,1.128171091,1.272565596,1.948763218,2.71866038,1.286474026,1.534714366,2.613006652,1.631199404,2.021547563,2.068127782,2.320425011,0.712949808,2.623218266,6.89,2.08,8.51,3.09,3.57,7.02,15.16,3.62,4.64,13.64,5.11,7.55,7.91,10.18,2.04,13.78,-20.14,-58.15,2.803881133,0.696486981,-0.300255155,-0.974944311,-0.365968717
UMMZ 166256,"6 KM SE (BY AIR) OF BAHIA NEGRA, W BANK OF RIO PARAGUAY ALONG RIACHO RAMOS 20 DEG 16' S, 58 DEG 7' W",Alto Paraguay,Paraguay,G,1.867176109,0.688134639,2.026831591,0.963174318,1.111857515,2.00148,2.611539301,1.249901736,1.560247668,2.68716699,1.444563269,2.043814364,2.173614712,2.33698652,0.806475866,2.651127054,6.47,1.99,7.59,2.62,3.04,7.4,13.62,3.49,4.76,14.69,4.24,7.72,8.79,10.35,2.24,14.17,-20.3,-58.07,-0.033690798,2.210024154,-1.008943176,1.946745636,-0.432068856
UMMZ 166257,"6 KM SE (BY AIR) OF BAHIA NEGRA, W BANK OF RIO PARAGUAY ALONG RIACHO RAMOS 20 DEG 16' S, 58 DEG 7' W",Alto Paraguay,Paraguay,G,1.937301775,0.688134639,2.076938411,0.845868268,1.252762968,2.102913898,2.681021529,1.2753628,1.621366483,2.738902665,1.642872689,2.037316615,2.324346585,2.285438934,0.683096845,2.662355242,6.94,1.99,7.98,2.33,3.5,8.19,14.6,3.58,5.06,15.47,5.17,7.67,10.22,9.83,1.98,14.33,-20.3,-58.07,-1.296690798,4.165184351,-0.649962285,-0.623154656,-0.101641875
UMMZ 166258,"6 KM SE (BY AIR) OF BAHIA NEGRA, W BANK OF RIO PARAGUAY ALONG RIACHO RAMOS 20 DEG 16' S, 58 DEG 7' W",Alto Paraguay,Paraguay,G,1.899117988,0.678033543,2.084429083,1.011600912,1.193922468,1.991975516,2.653945942,1.214912744,1.467874348,2.605648267,1.547562509,2.034705648,2.152924318,2.242835089,0.78845736,2.622492313,6.68,1.97,8.04,2.75,3.3,7.33,14.21,3.37,4.34,13.54,4.7,7.65,8.61,9.42,2.2,13.77,-20.3,-58.07,0.945188413,1.781206117,-1.545431838,0.655038546,-0.859558258
UMMZ 166382,"6 KM SE (BY AIR) OF BAHIA NEGRA, W BANK RIO PARAGUAY ALONG RIACHO RAMOS 20 DEG 16' S, 58 DEG 7' W",Alto Paraguay,Paraguay,G,1.896119485,0.647103242,1.888583654,0.996948635,1.16315081,1.994700313,2.597491011,1.115141591,1.574846468,2.650421088,1.456286733,2.021547563,2.155244505,2.396985768,0.904218151,2.648300197,6.66,1.91,6.61,2.71,3.2,7.35,13.43,3.05,4.83,14.16,4.29,7.55,8.63,10.99,2.47,14.13,-20.3,-58.07,0.058545726,1.425972372,-1.603074328,0.767836325,0.380441374
UMMZ 166383,"6 KM SE (BY AIR) OF BAHIA NEGRA, W BANK RIO PARAGUAY ALONG RIACHO RAMOS 20 DEG 16' S, 58 DEG 7' W",Alto Paraguay,Paraguay,G,1.857859271,0.708035793,2.045108863,1.202972304,1.289232648,2.055404964,2.696652156,1.353254507,1.615419984,2.643333886,1.576914721,2.004179057,2.233235015,2.295560478,0.916290732,2.645465326,6.41,2.03,7.73,3.33,3.63,7.81,14.83,3.87,5.03,14.06,4.84,7.42,9.33,9.93,2.5,14.09,-20.3,-58.07,0.498841366,1.389070865,-1.271005234,0.385649044,-0.853755439
UMMZ 166384,"6 KM SE (BY AIR) OF BAHIA NEGRA, W BANK RIO PARAGUAY ALONG RIACHO RAMOS 20 DEG 16' S, 58 DEG 7' W",Alto Paraguay,Paraguay,G,1.981001469,0.746687947,2.155244505,1.00063188,1.220829921,1.981001469,2.796061078,1.115141591,1.54329811,2.710048204,1.644805056,2.122261539,2.22028985,2.489894191,1.098612289,2.746629683,7.25,2.11,8.63,2.72,3.39,7.25,16.38,3.05,4.68,15.03,5.18,8.35,9.21,12.06,3,15.59,-20.3,-58.07,1.056913269,0.379259331,-1.151841474,0.305662359,2.617372208
UMMZ 133970,"24KM NNW CARAYAO,ESTANCIA SAN IGNACIO",Caaguazi,Paraguay,G,1.974081026,0.841567186,2.104134154,0.993251773,1.302912752,2.093097868,2.747270914,1.311031877,1.589235205,2.754933787,1.613429934,2.128231706,2.262804223,2.349468679,1.128171091,2.708050201,7.2,2.32,8.2,2.7,3.68,8.11,15.6,3.71,4.9,15.72,5.02,8.4,9.61,10.48,3.09,15,-24.96,-56.52,-1.68629067,-0.204699247,-0.116045847,0.815303177,0.576395183
UMMZ 124225,17KM E (BY ROAD) LUQUE,Central,Paraguay,G,1.916922612,0.770108222,1.997417706,0.862889955,1.137833002,2.016235466,2.696652156,1.223775432,1.541159072,2.68716699,1.652497402,2.069391206,2.199444334,2.437115986,0.760805829,2.643333886,6.8,2.16,7.37,2.37,3.12,7.51,14.83,3.4,4.67,14.69,5.22,7.92,9.02,11.44,2.14,14.06,-25.25,-57.35,-0.218920688,2.845795929,-0.996367078,-1.075928814,-0.244837015
UMMZ 124226,17KM E (BY ROAD) LUQUE,Central,Paraguay,G,1.961502244,0.75612198,2.101692151,0.871293366,1.289232648,1.937301775,2.697999865,1.297463147,1.572773928,2.76000994,1.646733697,2.098017927,2.157559321,2.440606391,1.181727195,2.721953106,7.11,2.13,8.18,2.39,3.63,6.94,14.85,3.66,4.82,15.8,5.19,8.15,8.65,11.48,3.26,15.21,-25.25,-57.35,0.727027356,0.315266228,2.011427149,0.542421746,1.454252088
UMMZ 124227,17KM E (BY ROAD) LUQUE,Central,Paraguay,G,1.912501087,0.746687947,2.086913557,1.01523068,1.241268589,1.927164106,2.61958322,1.235471471,1.611435915,2.719978772,1.611435915,2.043814364,2.173614712,2.363680192,0.824175443,2.626116818,6.77,2.11,8.06,2.76,3.46,6.87,13.73,3.44,5.01,15.18,5.01,7.72,8.79,10.63,2.28,13.82,-25.25,-57.35,1.883087375,1.875498601,-0.025169257,0.344010347,-0.029374099
UMMZ 124228,17KM E (BY ROAD) LUQUE,Central,Paraguay,G,1.843719208,0.683096845,2.090628731,0.970778917,1.199964783,1.919859472,2.696652156,1.156881197,1.528227857,2.708050201,1.619388243,2.033397603,2.111424588,2.400618833,1.00063188,2.583242551,6.32,1.98,8.09,2.64,3.32,6.82,14.83,3.18,4.61,15,5.05,7.64,8.26,11.03,2.72,13.24,-25.25,-57.35,2.061257504,0.628264515,-1.498100204,-0.298202324,-0.129329088
UMMZ 125484,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.937301775,0.712949808,1.985130862,0.867100488,1.147402453,1.903598951,2.676903472,1.156881197,1.54329811,2.741484977,1.599387577,2.038619547,2.191653532,2.474014209,1.061256502,2.621038824,6.94,2.04,7.28,2.38,3.15,6.71,14.54,3.18,4.68,15.51,4.95,7.68,8.95,11.87,2.89,13.75,-20.63,-59.86,1.388548604,1.07079548,-0.295338604,-0.91160763,0.320894107
UMMZ 125485,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.930071085,0.662687973,2.051556338,0.932164081,1.202972304,1.860974538,2.58021683,1.147402453,1.566530411,2.684440335,1.601405741,2.129421474,2.193885676,2.336019869,0.737164066,2.607861474,6.89,1.94,7.78,2.54,3.33,6.43,13.2,3.15,4.79,14.65,4.96,8.41,8.97,10.34,2.09,13.57,-20.63,-59.86,2.153115838,1.757428978,-0.773084524,1.026498856,0.052408101
UMMZ 125489,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.928618652,0.693147181,2.086913557,0.887891257,1.241268589,1.902107526,2.716018371,1.208960346,1.656321498,2.738256043,1.623340818,2.154085085,2.131796772,2.444084655,1.300191662,2.636196097,6.88,2,8.06,2.43,3.46,6.7,15.12,3.35,5.24,15.46,5.07,8.62,8.43,11.52,3.67,13.96,-20.63,-59.86,1.517742773,-1.176032261,-0.174253447,0.706747783,1.710709255
UMMZ 125490,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.968509981,0.727548607,2.02287119,0.858661619,1.202972304,1.935859813,2.618125494,1.269760545,1.481604541,2.689207113,1.617406082,2.144761008,2.131796772,2.366498419,1.061256502,2.595254707,7.16,2.07,7.56,2.36,3.33,6.93,13.71,3.56,4.4,14.72,5.04,8.54,8.43,10.66,2.89,13.4,-20.63,-59.86,-0.04218114,0.000750684,0.187356555,0.223905008,-0.958914853
UMMZ 125491,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.971299383,0.760805829,2.05284086,0.978326123,1.255616037,1.950186706,2.680336363,1.1442228,1.62924054,2.712042222,1.665818246,2.115049969,2.191653532,2.3896798,0.928219303,2.702032129,7.18,2.14,7.79,2.66,3.51,7.03,14.59,3.14,5.1,15.06,5.29,8.29,8.95,10.91,2.53,14.91,-20.63,-59.86,1.25844227,1.133081114,-0.212636886,0.552834064,1.887629238
UMMZ 125492,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.91839212,0.717839793,1.921324674,0.850150929,1.088561953,1.874874376,2.537657215,1.160020917,1.526056303,2.700018029,1.437462648,2.050270164,2.05284086,2.290512512,0.959350221,2.564179831,6.81,2.05,6.83,2.34,2.97,6.52,12.65,3.19,4.6,14.88,4.21,7.77,7.79,9.88,2.61,12.99,-20.63,-59.86,1.17040569,0.065073074,-0.009076491,1.444294903,-0.860946507
UMMZ 125493,50KM WNW FORTIN MADREJON,Chaco,Paraguay,G,1.990610328,0.78845736,1.968509981,0.746687947,0.966983846,1.95586048,2.661657162,1.095273387,1.512927012,2.656756907,1.479329227,2.061786606,2.048982334,2.318458442,0.90016135,2.554121719,7.32,2.2,7.16,2.11,2.63,7.07,14.32,2.99,4.54,14.25,4.39,7.86,7.76,10.16,2.46,12.86,-20.63,-59.86,0.58282031,0.604773263,-1.63041748,-0.453214248,-0.283150959
BMNH 1901.3.11.2,"League, NW ConcepciÜn",Concepcion,Paraguay,G,1.971299383,0.727548607,2.016235466,0.770108222,1.085189268,1.894616855,2.604170071,1.211940974,1.58514522,2.663052835,1.583093937,2.03077637,2.080690761,2.297572551,1.047318994,2.568021556,7.18,2.07,7.51,2.16,2.96,6.65,13.52,3.36,4.88,14.34,4.87,7.62,8.01,9.95,2.85,13.04,,,1.938855625,1.763788055,0.268397267,-0.279548121,-0.141896355
UMMZ 174968,"Compania Minas - Cue - Emboscada, Property  of Fam. Filipinni",Cordillera,Paraguay,G,1.961502244,0.751416089,2.021547563,0.932164081,0.932164081,1.953027617,2.727852828,1.378766095,1.568615918,2.752386015,1.621366483,2.091864062,2.204972264,2.376764491,0.887891257,2.653241965,7.11,2.12,7.55,2.54,2.54,7.05,15.3,3.97,4.8,15.68,5.06,8.1,9.07,10.77,2.43,14.2,-25.12,-57.35,0.714718245,2.131620765,0.227549426,0.533698747,-0.628517417
UMMZ 125495,5KM ENE AYOLAS,Misiones,Paraguay,G,2.020222182,0.832909123,2.121063216,1.022450928,1.283707772,2.002830439,2.714032273,1.244154594,1.60341984,2.700689847,1.642872689,2.059238834,2.181546765,2.520112906,0.837247525,2.710713319,7.54,2.3,8.34,2.78,3.61,7.41,15.09,3.47,4.97,14.89,5.17,7.84,8.86,12.43,2.31,15.04,-27.34,-56.8,0.971118014,1.61637021,0.518777213,-1.369238553,1.328648945
UMMZ 174879,Centu Cue,Misiones,Paraguay,G,1.985130862,0.850150929,2.013568798,0.871293366,1.241268589,2.00148,2.718000532,1.337629189,1.508511994,2.765689981,1.715598108,2.075684493,2.299580584,2.393339456,0.955511445,2.622492313,7.28,2.34,7.49,2.39,3.46,7.4,15.15,3.81,4.52,15.89,5.56,7.97,9.97,10.95,2.6,13.77,-26.4,-57.04,-0.624351779,1.36047951,0.640101568,-1.937921466,-1.393145017
UMMZ 174829,"Estancia Yacare, 1.68 Km NW of Puesto San Fernando",Neembucu,Paraguay,G,1.986503546,0.770108222,2.157559321,0.871293366,1.247032294,1.974081026,2.659559992,1.439835128,1.568615918,2.775085602,1.601405741,2.085672091,2.155244505,2.49732917,0.904218151,2.68988623,7.29,2.16,8.65,2.39,3.48,7.2,14.29,4.22,4.8,16.04,4.96,8.05,8.63,12.15,2.47,14.73,-26.55,-57.99,0.067982661,1.647246614,2.647500815,-0.233564759,-0.069508611
UMMZ 174842,"Estancia Santa Teresa, 3.88 Km S of Puesto Anastacio",Neembucu,Paraguay,G,1.928618652,0.774727168,2.056684555,0.824175443,1.172482137,1.941615225,2.610804817,1.363537374,1.572773928,2.686486023,1.549687908,2.037316615,2.124653885,2.453587967,0.916290732,2.62756295,6.88,2.17,7.82,2.28,3.23,6.97,13.61,3.91,4.82,14.68,4.71,7.67,8.37,11.63,2.5,13.84,-24.58,-58.13,0.808217471,2.3437854,1.3451229,-0.350139505,-0.648326874
UMMZ 174843,"Estancia Yacare, 3.59 Km NNE of Puesto San Fernando",Neembucu,Paraguay,G,1.924248652,0.712949808,2.09679018,0.963174318,1.17557333,1.971299383,2.727852828,1.115141591,1.418277407,2.747911735,1.508511994,2.069391206,2.138889,2.427454075,0.951657876,2.700689847,6.85,2.04,8.14,2.62,3.24,7.18,15.3,3.05,4.13,15.61,4.52,7.92,8.49,11.33,2.59,14.89,-26.55,-57.99,0.316328328,-0.252379863,-0.77758878,0.949972821,0.83996245
UMMZ 125997,15.5KM NNW CHACO-I,Presidente Hayes,Paraguay,G,1.931521412,0.727548607,2.129421474,0.97455964,1.266947603,1.958685341,2.811208293,1.235471471,1.615419984,2.734367509,1.663926098,2.135349174,2.215937286,2.535282857,0.871293366,2.733717948,6.9,2.07,8.41,2.65,3.55,7.09,16.63,3.44,5.03,15.4,5.28,8.46,9.17,12.62,2.39,15.39,-25.12,-57.69,1.369225527,0.62904953,-0.173571445,-0.43053743,2.126998846
UMMZ 125999,15.5KM NNW CHACO-I,Presidente Hayes,Paraguay,G,1.876406943,0.703097511,2.046401688,1.01884732,1.226712291,2.02287119,2.7047113,1.283707772,1.570697084,2.712706013,1.54329811,2.068127782,2.135349174,2.51041194,0.797507196,2.7047113,6.53,2.02,7.74,2.77,3.41,7.56,14.95,3.61,4.81,15.07,4.68,7.91,8.46,12.31,2.22,14.95,-25.12,-57.69,-0.127693646,1.202041371,-0.211331512,0.293174837,0.557994491
UMMZ 126000,15.5KM NNW CHACO-I,Presidente Hayes,Paraguay,G,1.882513832,0.693147181,1.931521412,0.824175443,1.131402111,1.87946505,2.598979106,1.033184483,1.427916036,2.647592232,1.460937904,2.005525859,2.140066163,2.350422422,0.765467842,2.57261223,6.57,2,6.9,2.28,3.1,6.55,13.45,2.81,4.17,14.12,4.31,7.43,8.5,10.49,2.15,13.1,-25.12,-57.69,1.641557542,1.389317984,-1.621525086,-0.270416334,-0.807659558
