NUMERO,LOCALIDADE,ESTADO,PAIS,SP,LogLM,LogBM1,LogLIF,LogBFI,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogBOC,LogLPB,LogBI,LogLI,LogLB,LM,BM1,LIF,BFI,BIT,BP,LN,BN,LIB,BB,BZP,BOC,LPB,BI,LI,LB,LAT,LONG,LD1,LD2,LD3,LD4,LD5
MN 67129,"Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,2.042518188,0.845868268,2.048982334,0.90825856,1.297463147,2.255493485,2.881443127,1.32175584,1.654411278,2.79239135,1.669591835,2.154085085,2.274185618,2.398803951,1.266947603,2.77133794,7.71,2.33,7.76,2.48,3.66,9.54,17.84,3.75,5.23,16.32,5.31,8.62,9.72,11.01,3.55,15.98,-23.025,-45.555,-4.462417001,-0.83624568,-0.269885435,-0.551106602,2.06222148
MN 67131,"Faz Antonio Taino, bairro barranco, Taubat_",Sao Paulo,Brasil,A,1.997417706,0.862889955,2.083184528,1.01523068,1.340250423,2.187174241,2.810606789,1.415853163,1.44926916,2.778197961,1.635105659,2.198335072,2.336019869,2.421256623,1.214912744,2.774461967,7.37,2.37,8.03,2.76,3.82,8.91,16.62,4.12,4.26,16.09,5.13,9.01,10.34,11.26,3.37,16.03,-23.025,-45.555,-4.572791933,-1.242004047,0.256609195,0.836130596,-0.216908945
MN 67132,"Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,1.982379829,0.896088025,2.012232792,1.043804052,1.30833282,2.158714723,2.839663088,1.418277407,1.398716881,2.762538386,1.611435915,2.17702187,2.296567021,2.344686269,1.32175584,2.731766728,7.26,2.45,7.48,2.84,3.7,8.66,17.11,4.13,4.05,15.84,5.01,8.82,9.94,10.43,3.75,15.36,-23.025,-45.555,-4.188203481,-2.969282514,0.101841198,0.669752376,-1.098888945
MN 67133,"Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,1.976854953,0.815364813,1.972691172,0.924258902,1.16938136,2.118662255,2.650421088,1.316408234,1.490654376,2.745345986,1.517322624,2.111424588,2.162172939,2.3580198,1.300191662,2.629006994,7.22,2.26,7.19,2.52,3.22,8.32,14.16,3.73,4.44,15.57,4.56,8.26,8.69,10.57,3.67,13.86,-23.025,-45.555,-3.495980865,-0.944677013,-0.394436709,0.953094276,-1.254790675
MN 67134,"Faz Honda, canal principal, lado esquerdo, Distrito Eugênio Mello, Sæo Jos_ dos campo",Sao Paulo,Brasil,A,1.978239036,0.779324877,1.928618652,0.955511445,1.269760545,2.094330154,2.653945942,1.345472367,1.562346305,2.751109691,1.515127233,2.080690761,2.270061901,2.490723035,1.026041596,2.659559992,7.23,2.18,6.88,2.6,3.56,8.12,14.21,3.84,4.77,15.66,4.55,8.01,9.68,12.07,2.79,14.29,-23.18,-45.87,-2.802234114,0.381552483,0.232158681,-0.680737243,-0.951492009
MN 67135,"Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,2.016235466,0.703097511,1.908059925,0.783901544,1.10856262,2.043814364,2.557227311,1.211940974,1.663926098,2.755569717,1.508511994,2.093097868,2.164471791,2.410542234,1.178654996,2.616665639,7.51,2.02,6.74,2.19,3.03,7.72,12.9,3.36,5.28,15.73,4.52,8.11,8.71,11.14,3.25,13.69,-23.025,-45.555,-2.070966412,1.293463924,-0.055883206,0.557943429,0.398495193
MN 67136,"Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,1.906575144,0.732367894,1.93874166,0.845868268,1.196948189,2.095560924,2.653945942,1.229640551,1.560247668,2.77695418,1.593308531,2.100468909,2.170195905,2.397895273,0.955511445,2.616665639,6.73,2.08,6.95,2.33,3.31,8.13,14.21,3.42,4.76,16.07,4.92,8.17,8.76,11,2.6,13.69,-23.025,-45.555,-2.769825777,0.849238338,-0.931654619,-0.110185404,-0.652465488
MN 67137,"Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,2.014903021,0.841567186,2.026831591,0.943905899,1.232560261,2.061786606,2.712706013,1.252762968,1.523880024,2.740194654,1.560247668,2.100468909,2.249184316,2.416806237,1.1442228,2.663749942,7.5,2.32,7.59,2.57,3.43,7.86,15.07,3.5,4.59,15.49,4.76,8.17,9.48,11.21,3.14,14.35,-23.025,-45.555,-1.670211131,-0.365758055,-0.359709461,-0.304215132,-0.108475091
MN 67139,"Linha de captura,Gleba Paulo Japonês, bairro barranco, Taubat_",Sao Paulo,Brasil,A,1.976854953,0.797507196,1.932969638,0.982078472,1.214912744,2.128231706,2.732417558,1.371180723,1.549687908,2.785011242,1.591273942,2.095560924,2.240709689,2.453587967,1.269760545,2.660958594,7.22,2.22,6.91,2.67,3.37,8.4,15.37,3.94,4.71,16.2,4.91,8.13,9.4,11.63,3.56,14.31,-23.025,-45.555,-3.3068189,-0.822633034,0.019292945,-0.547785334,-0.846503088
MN 67192,Sæo Paulo,Sao Paulo,Brasil,A,1.990610328,0.815364813,2.075684493,0.920282753,1.297463147,2.152924318,2.744703519,1.410986974,1.593308531,2.76000994,1.648658626,2.099244169,2.267993648,2.35991016,1.249901736,2.69597762,7.32,2.26,7.97,2.51,3.66,8.61,15.56,4.1,4.92,15.8,5.2,8.16,9.66,10.59,3.49,14.82,-23.55,-46.63,-2.959184865,0.478430881,0.581910979,-0.141954553,-0.057912965
