Individual	Species	CSM	LM1	CFI	LFI	LPI	LPA	CNA	LNA	LIO	LCC	LPZ	LCO	CPP	LIP	CIP
32	H	-0.036929397	-0.002345942	0.071251035	0.079596907	0.032989126	0.063697123	0.063791207	-0.091436077	-0.026502296	-0.009716986	-0.026787893	0.007287355	-0.128180818	0.099966943	-0.050543495
33	H	0.026137478	0.056964045	-0.017504657	0.133037432	0.053202583	0.092308487	0.011476214	-0.098883526	0.130765079	0.04671684	-0.003445312	0.002646803	0.055847667	0.123225266	0.171491575
34	H	-0.006653783	-0.049287356	0.071885487	0.118163298	0.041541591	0.036489931	0.124212877	0.056182329	-0.00743107	-0.05756215	0.064656186	-0.052310593	0.012169154	-0.041795882	0.226180369
35	H	0.013207227	-0.029327847	0.041102703	0.005342506	-7.06E-05	-0.028770602	0.075964142	-0.043823639	0.079448076	0.010446514	0.065271595	0.061356329	0.083293249	0.019299021	0.076930509
36	H	0.035595241	-0.077647765	0.055139303	-0.012284003	0.027070223	-0.002580161	0.057589985	-0.041459899	-0.081234379	-0.004694253	-0.040795118	-0.006539374	0.023710485	-0.181695575	-0.004768456
37	H	-0.028943022	0.022026417	-0.027817889	0.012365787	0.013351571	0.006502094	-0.059678666	-0.046790805	0.053444553	0.022587863	-0.12192492	-0.020096352	0.005372073	0.026063466	0.026328848
38	H	0.012981444	-0.017378528	-0.016706372	-0.014342791	-0.028884852	-0.053453211	0.063865607	-0.113677126	-0.006805936	0.011634622	-0.024164121	-0.00870815	0.067170039	0.068149214	0.18683493
39	H	-0.056474254	-0.021686651	-0.081966472	-0.039363761	-0.109324351	-0.051145576	0.037475399	0.01308708	-0.020214447	-0.038543911	-0.118013181	-0.029374173	0.013472835	-0.004744748	0.10204979
40	H	0.015631127	0.010020688	0.054198828	0.109045156	0.067813671	0.073793776	0.09723225	0.188945898	0.148279279	0.003513487	0.087346624	0.030026395	0.077846227	0.021177897	0.1468355
41	H	-0.016742015	-0.008920328	-0.020002054	-0.008778945	-0.003179273	-0.014201686	0.047924908	-0.032432971	0.040572414	0.00796199	0.000537663	0.031582577	-0.003632236	0.091667132	0.098616173
42	H	0.049717021	0.06709362	0.100267899	0.075651287	0.14413833	0.059751288	0.106862199	0.091298684	0.112075202	0.010916695	0.171283737	0.038233936	0.070255559	0.055614424	0.124723586
43	H	0.032922722	0.059202707	0.025742151	0.119300453	0.173129234	0.015585415	0.102621144	-0.211985445	-0.081022755	0.005033184	0.026863407	0.000325735	0.046882387	0.06994446	-0.071398249
44	H	-0.035708496	-0.0332287	0.095458418	0.123143748	0.15843731	-0.074704345	0.051161053	0.059622404	0.049248435	-0.012690215	0.108548015	0.02705568	0.074014376	0.03001441	0.221796189
